曹邵,曹爽,祖父,unknown,unknown
曹彬,曹爽,叔父,unknown,unknown
德阳乡主,曹爽,姑母,unknown,unknown
夏侯玄,曹爽,表弟,unknown,unknown
夏侯徽,曹爽,表妹,unknown,unknown
曹叡,曹爽,好友,unknown,unknown
曹真,曹训,父亲,unknown,unknown
曹爽,曹训,哥哥,unknown,unknown
曹羲,曹训,哥哥,unknown,unknown
曹邵,曹训,祖父,unknown,unknown
曹彬,曹训,叔父,unknown,unknown
曹璠,曹训,叔父,unknown,unknown
德阳乡主,曹训,姑母,unknown,unknown
曹文叔,曹训,堂弟,unknown,unknown
夏侯玄,曹训,表弟,unknown,unknown
夏侯徽,曹训,表妹,unknown,unknown
王斑,曹颖,丈夫,unknown,unknown
王梓涵,曹颖,儿子,unknown,unknown
张琪瑛,曹宇,妻子,unknown,unknown
曹奂,曹宇,儿子,unknown,unknown
曹操,曹宇,父亲,魏,unknown
环夫人,曹宇,母亲,unknown,unknown
曹昂,曹宇,哥哥,unknown,unknown
清河公主,曹宇,姐姐,unknown,unknown
曹林,曹宇,弟弟,unknown,unknown
曹嵩,曹宇,祖父,unknown,unknown
丁氏,曹宇,祖母,unknown,unknown
张鲁,曹宇,岳父,群雄,unknown
卞皇后,曹宇,儿媳,unknown,unknown
曹德,曹宇,叔父,unknown,unknown
曹彬,曹宇,叔父,unknown,unknown
曹叡,曹宇,侄子,unknown,unknown
曹协,曹宇,侄子,unknown,unknown
曹蕤,曹宇,侄子,unknown,unknown
曹鉴,曹宇,侄子,unknown,unknown
曹霖,曹宇,侄子,unknown,unknown
曹礼,曹宇,侄子,unknown,unknown
曹邕,曹宇,侄子,unknown,unknown
曹喈,曹宇,侄子,unknown,unknown
曹俨,曹宇,侄子,unknown,unknown
曹贡,曹宇,侄子,unknown,unknown
曹楷,曹宇,侄子,unknown,unknown
曹苗,曹宇,侄子,unknown,unknown
曹志,曹宇,侄子,unknown,unknown
曹炳,曹宇,侄子,unknown,unknown
曹范,曹宇,侄子,unknown,unknown
曹阐,曹宇,侄子,unknown,unknown
曹琮,曹宇,侄子,unknown,unknown
曹壹,曹宇,侄子,unknown,unknown
曹赞,曹宇,侄子,unknown,unknown
曹澳,曹宇,侄子,unknown,unknown
曹纬,曹宇,侄子,unknown,unknown
曹敏,曹宇,侄子,unknown,unknown
曹竦,曹宇,侄子,unknown,unknown
曹琬,曹宇,侄子,unknown,unknown
曹抗,曹宇,侄子,unknown,unknown
东乡公主,曹宇,侄女,unknown,unknown
荀甝,曹宇,外甥,unknown,unknown
荀霬,曹宇,外甥,unknown,unknown
崔妃,曹植,妻子,unknown,魏
曹苗,曹植,儿子,unknown,魏
曹志,曹植,儿子,unknown,魏
曹操,曹植,父亲,魏,魏
武宣卞皇后,曹植,母亲,unknown,魏
曹彰,曹植,哥哥,魏,魏
曹昂,曹植,哥哥,unknown,魏
曹丕,曹植,哥哥,魏,魏
清河公主,曹植,姐姐,unknown,魏
曹熊,曹植,弟弟,unknown,魏
曹冲,曹植,弟弟,unknown,魏
曹彪,曹植,弟弟,unknown,魏
曹上,曹植,弟弟,unknown,魏
曹乘,曹植,弟弟,unknown,魏
曹京,曹植,弟弟,unknown,魏
曹衮,曹植,弟弟,unknown,魏
曹嵩,曹植,祖父,unknown,魏
丁氏,曹植,祖母,unknown,魏
卞远,曹植,外祖父,unknown,魏
曹德,曹植,叔父,unknown,魏
卞秉,曹植,舅父,unknown,魏
曹霖,曹植,侄子,unknown,魏
曹叡,曹植,侄子,unknown,魏
曹楷,曹植,侄子,unknown,魏
曹贡,曹植,侄子,unknown,魏
曹邕,曹植,侄子,unknown,魏
曹鉴,曹植,侄子,unknown,魏
曹协,曹植,侄子,unknown,魏
曹嘉,曹植,侄子,unknown,魏
曹炳,曹植,侄子,unknown,魏
文昭甄皇后,曹植,嫂子,unknown,魏
杨修,曹植,好友,魏,魏
丁仪,曹植,好友,魏,魏
丁廙,曹植,好友,魏,魏
荀恽,曹植,好友,unknown,魏
杨俊,曹植,好友,unknown,魏
吴质,曹植,好友,unknown,魏
邯郸淳,曹植,好友,unknown,魏
曹植,曹志,父亲,魏,unknown
曹苗,曹志,哥哥,unknown,unknown
曹操,曹志,祖父,魏,unknown
曹彰,曹志,伯父,魏,unknown
曹丕,曹志,伯父,魏,unknown
曹熊,曹志,叔父,unknown,unknown
曹干,曹志,叔父,unknown,unknown
曹衮,曹志,叔父,unknown,unknown
清河公主,曹志,姑母,unknown,unknown
郭女王,曹志,伯母,unknown,unknown
文昭甄皇后,曹志,伯母,unknown,unknown
陈群,陈纪,儿子,魏,群雄
陈寔,陈纪,父亲,unknown,群雄
陈谌,陈纪,弟弟,unknown,群雄
陈泰,陈纪,孙子,unknown,群雄
陈恂,陈纪,曾孙子,unknown,群雄
孔融,陈纪,好友,群雄,群雄
刘备,陈纪,学生,蜀,群雄
陈泰,陈群,儿子,unknown,魏
陈纪,陈群,父亲,群雄,魏
